,index,drugA,drugB,event,label
0,4523,Agomelatine,Fluvoxamine,The serum concentration increase,4
1,4528,Bupropion,Fluvoxamine,The risk or severity of adverse effects increase,2
2,4530,Citalopram,Fluvoxamine,The serum concentration increase,4
3,4533,Duloxetine,Fluvoxamine,The metabolism decrease,0
4,4604,Fluvoxamine,Mirtazapine,the serotonergic activities increase,41
5,4625,Fluvoxamine,Zimelidine,The risk or severity of adverse effects increase,2
6,4677,Brexanolone,Fluvoxamine,The risk or severity of adverse effects increase,2
7,4683,Fluvoxamine,Reboxetine,The risk or severity of adverse effects increase,2
8,4705,Fluvoxamine,Desvenlafaxine,The risk or severity of adverse effects increase,2
9,4707,Fluvoxamine,Viloxazine,The risk or severity of adverse effects increase,2
10,4769,Fluvoxamine,Tranylcypromine,the serotonergic activities increase,41
11,4770,Fluvoxamine,Phenelzine,the serotonergic activities increase,41
12,4772,Fluvoxamine,Selegiline,the serotonergic activities increase,41
13,4773,Fluvoxamine,Moclobemide,the serotonergic activities increase,41
14,4867,Venlafaxine,Fluvoxamine,The metabolism decrease,0
15,4873,Imipramine,Fluvoxamine,The metabolism decrease,0
16,4875,Nortriptyline,Fluvoxamine,The metabolism decrease,0
17,4876,Amoxapine,Fluvoxamine,The metabolism decrease,0
18,4877,Paroxetine,Fluvoxamine,The metabolism decrease,0
19,4878,Trimipramine,Fluvoxamine,The metabolism decrease,0
20,4883,Maprotiline,Fluvoxamine,The metabolism decrease,0
21,4884,Sertraline,Fluvoxamine,The metabolism decrease,0
22,4885,Doxepin,Fluvoxamine,The metabolism decrease,0
23,4886,Nefazodone,Fluvoxamine,The metabolism decrease,0
24,4887,Desipramine,Fluvoxamine,The metabolism decrease,0
25,4888,Quetiapine,Fluvoxamine,The metabolism decrease,0
26,4889,Clomipramine,Fluvoxamine,The metabolism decrease,0
27,4894,Cariprazine,Fluvoxamine,The metabolism decrease,0
28,4896,Mianserin,Fluvoxamine,The metabolism decrease,0
29,4898,Vilazodone,Fluvoxamine,The metabolism decrease,0
30,4899,Levomilnacipran,Fluvoxamine,The metabolism decrease,0
31,4901,Vortioxetine,Fluvoxamine,The metabolism decrease,0
32,4902,Dosulepin,Fluvoxamine,The metabolism decrease,0
33,5363,Amitriptyline,Fluvoxamine,The metabolism decrease,0
